model,ticker,scaler,sentiment,run,accuracy,f1_score,train_loss,val_loss,class_distribution,lag,pred_probs,technical_indicators,xgb_max_depth,xgb_min_child_weight,xgb_gamma,learning_rate,n_estimators,profit
XGBoost,MSFT,standard,False,24,0.46511627906976744,0.3783783783783784,,,"{np.int64(0): np.int64(20), np.int64(1): np.int64(23)}",10,,True,5,3,0.2,0.05,150,-170.04527282714662
XGBoost,MSFT,standard,False,25,0.46511627906976744,0.3783783783783784,,,"{np.int64(0): np.int64(20), np.int64(1): np.int64(23)}",10,,True,5,3,0.2,0.05,150,-170.04527282714662
XGBoost,MSFT,standard,False,26,0.46511627906976744,0.3783783783783784,,,"{np.int64(0): np.int64(20), np.int64(1): np.int64(23)}",10,,True,5,3,0.2,0.05,150,-170.04527282714662
XGBoost,MSFT,standard,False,27,0.46511627906976744,0.3783783783783784,,,"{np.int64(0): np.int64(20), np.int64(1): np.int64(23)}",10,,True,5,3,0.2,0.05,150,-170.04527282714662
XGBoost,MSFT,standard,False,28,0.46511627906976744,0.3783783783783784,,,"{np.int64(0): np.int64(20), np.int64(1): np.int64(23)}",10,,True,5,3,0.2,0.05,150,-170.04527282714662
XGBoost,MSFT,standard,False,29,0.46511627906976744,0.3783783783783784,,,"{np.int64(0): np.int64(20), np.int64(1): np.int64(23)}",10,,True,5,3,0.2,0.05,150,-170.04527282714662
XGBoost,MSFT,standard,False,30,0.46511627906976744,0.3783783783783784,,,"{np.int64(0): np.int64(20), np.int64(1): np.int64(23)}",10,,True,5,3,0.2,0.05,150,-170.04527282714662
XGBoost,MSFT,standard,False,31,0.46511627906976744,0.3783783783783784,,,"{np.int64(0): np.int64(20), np.int64(1): np.int64(23)}",10,,True,5,3,0.2,0.05,150,-170.04527282714662
XGBoost,MSFT,standard,False,32,0.46511627906976744,0.3783783783783784,,,"{np.int64(0): np.int64(20), np.int64(1): np.int64(23)}",10,,True,5,3,0.2,0.05,150,-170.04527282714662
XGBoost,MSFT,standard,False,33,0.46511627906976744,0.3783783783783784,,,"{np.int64(0): np.int64(20), np.int64(1): np.int64(23)}",10,,True,5,3,0.2,0.05,150,-170.04527282714662
XGBoost,MSFT,standard,False,34,0.46511627906976744,0.3783783783783784,,,"{np.int64(0): np.int64(20), np.int64(1): np.int64(23)}",10,,True,5,3,0.2,0.05,150,-170.04527282714662
XGBoost,MSFT,standard,False,35,0.46511627906976744,0.3783783783783784,,,"{np.int64(0): np.int64(20), np.int64(1): np.int64(23)}",10,,True,5,3,0.2,0.05,150,-170.04527282714662
XGBoost,MSFT,standard,False,36,0.46511627906976744,0.3783783783783784,,,"{np.int64(0): np.int64(20), np.int64(1): np.int64(23)}",10,,True,5,3,0.2,0.05,150,-170.04527282714662
